snr,n_files,n_rows,output_path
20p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr20p0_merged_normalized.parquet
25p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr25p0_merged_normalized.parquet
30p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr30p0_merged_normalized.parquet
35p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr35p0_merged_normalized.parquet
40p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr40p0_merged_normalized.parquet
45p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr45p0_merged_normalized.parquet
50p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr50p0_merged_normalized.parquet
60p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr60p0_merged_normalized.parquet
70p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr70p0_merged_normalized.parquet
80p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr80p0_merged_normalized.parquet
90p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr90p0_merged_normalized.parquet
100p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr100p0_merged_normalized.parquet
110p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr110p0_merged_normalized.parquet
120p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr120p0_merged_normalized.parquet
130p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr130p0_merged_normalized.parquet
140p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr140p0_merged_normalized.parquet
150p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr150p0_merged_normalized.parquet
170p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr170p0_merged_normalized.parquet
200p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr200p0_merged_normalized.parquet
250p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr250p0_merged_normalized.parquet
300p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr300p0_merged_normalized.parquet
350p0,98,9800,CCFs/random_rv_iccf_datasets_snr_snr350p0_merged_normalized.parquet
