species,wave,wave_vald,wave_l,wave_u,flux,flux_vald,flux_l,flux_u,depth,depth_vald,loggf,E_l,J_l,E_u,J_u,lande_l,lande_u,lande_m,damping_rad,damping_stark,damping_waals,vrad_info,crit_CaHK
Fe 1,3000.068642769787,3000.0639,3000.0,3000.13,0.05483502149581909,0.027000000000000024,0.31241482,0.15650205,0.9451649785041809,0.973,-0.964,2.4327,5.0,6.5654,4.0,1.04,1.21,0.7,7.67,-4.71,-7.5,8269187741.560152,True
Fe 1,3000.385532944977,3000.3859,3000.14,3000.73,0.01700735092163086,0.0050000000000000044,0.15593499,0.32465985,0.9829926490783691,0.995,-0.598,0.859,5.0,4.9913,5.0,1.4,1.39,1.4,8.78,-5.79,424.298,3504186644.386744,True
Cr 2,3000.8080794197576,3000.8083,3000.74,3000.87,0.1835784912109375,0.18200000000000005,0.32780784,0.3597676,0.8164215087890625,0.818,-0.94,4.0116,3.5,8.1433,4.5,1.14,1.14,1.12,8.29,-6.59,215.222,3252234374.9699426,True
Fe 2,3000.9371278983895,3000.9362,3000.88,3001.0,0.15533685684204102,0.10299999999999998,0.3556175,0.35394186,0.844663143157959,0.897,-1.608,3.8143,3.5,7.9458,2.5,0.9,0.62,1.25,8.59,-6.51,176.24,5465044461.762095,True
Fe 1,3001.059224885607,3001.0801,3001.01,3001.12,0.3248395174741745,0.6859999999999999,0.35418788,0.34722015,0.6751604825258255,0.314,-2.596,3.6025,3.0,7.7338,4.0,1.66,1.61,1.55,8.86,-3.94,-7.29,81557495.54852852,True
Fe 1,3001.328521820969,3001.3259,3001.13,3001.38,0.03172624111175537,0.01100000000000001,0.3463313,0.080057636,0.9682737588882446,0.989,-1.095,1.4849,4.0,5.6158,5.0,1.25,1.21,1.11,7.34,-6.23,-7.83,5236325810.670354,True
Co 1,3001.4349677748687,3001.4223,3001.39,3001.5,0.05260419845581055,0.05700000000000005,0.08120113,0.09619543,0.9473958015441895,0.943,-2.12,0.1012,3.5,4.232,3.5,1.24,0.92,1.08,8.04,-6.1,307.284,660561941.7486162,True
Fe 1,3001.8161336176368,3001.8225,3001.51,3002.01,0.014297395944595337,0.0050000000000000044,0.097123936,0.058878466,0.9857026040554047,0.995,-0.585,0.0873,2.0,4.2176,1.0,1.5,1.49,1.5,8.3,-6.16,277.264,828090797.1791624,True
V 2,3002.0690550898294,3002.0791,3002.02,3002.44,0.04941706359386444,0.049000000000000044,0.05944819,0.3454449,0.9505829364061356,0.951,0.32,1.7037,3.0,5.8337,3.0,1.62,1.55,1.59,8.58,-6.46,-7.86,1550172224.2061014,True
Fe 1,3002.525491929899,3002.5228,3002.45,3002.56,0.14127600193023682,0.07899999999999996,0.34444675,0.19902429,0.8587239980697632,0.921,-2.24,2.4242,1.0,6.5535,1.0,1.5,1.25,1.37,8.19,-5.71,-7.71,3115112959.8982544,True
